id:string:subclasses	l:label
102/444	Subclass
438/238	Subclass
257/E21.628	Subclass
362/287	Subclass
257/E27.099	Subclass
438/199	Subclass
600/118	Subclass
438/200	Subclass
362/373	Subclass
438/202	Subclass
D11/96	Subclass
438/221	Subclass
257/344	Subclass
376/440	Subclass
257/389	Subclass
257/397	Subclass
257/398	Subclass
257/399	Subclass
60/295	Subclass
257/408	Subclass
257/E21.427	Subclass
257/E21.552	Subclass
264/500	Subclass
257/E29.021	Subclass
514/529	Subclass
257/E29.04	Subclass
264/512	Subclass
257/E29.268	Subclass
716/1	Subclass
705/14	Subclass
438/218	Subclass
264/523	Subclass
438/223	Subclass
438/224	Subclass
438/225	Subclass
264/535	Subclass
438/228	Subclass
438/217	Subclass
264/539	Subclass
439/159	Subclass
438/201	Subclass
425/522	Subclass
438/210	Subclass
425/526	Subclass
257/E21.659	Subclass
438/279	Subclass
425/528	Subclass
257/69	Subclass
257/204	Subclass
425/532	Subclass
257/E21.633	Subclass
382/181	Subclass
257/E21.635	Subclass
425/534	Subclass
438/222	Subclass
72/40	Subclass
438/226	Subclass
345/107	Subclass
438/230	Subclass
438/197	Subclass
257/374	Subclass
257/E21.624	Subclass
430/325	Subclass
438/158	Subclass
438/314	Subclass
438/395	Subclass
438/175	Subclass
257/E21.573	Subclass
D8/323	Subclass
438/166	Subclass
257/E21.414	Subclass
257/E29.295	Subclass
438/486	Subclass
324/1581	Subclass
280/87021	Subclass
438/163	Subclass
257/E21.147	Subclass
257/E21.415	Subclass
257/E29.202	Subclass
60/274	Subclass
257/E29.279	Subclass
72/41	Subclass
60/278	Subclass
438/514	Subclass
72/43	Subclass
60/297	Subclass
72/45	Subclass
257/E27.111	Subclass
60/311	Subclass
438/160	Subclass
72/53	Subclass
438/571	Subclass
451/38	Subclass
376/439	Subclass
451/39	Subclass
257/E21.412	Subclass
439/141	Subclass
257/E21.661	Subclass
257/E27.1	Subclass
257/E29.277	Subclass
257/E29.294	Subclass
438/161	Subclass
438/162	Subclass
438/149	Subclass
257/E21.549	Subclass
257/E21.564	Subclass
382/162	Subclass
438/243	Subclass
438/411	Subclass
324/765	Subclass
205/656	Subclass
205/660	Subclass
205/662	Subclass
205/674	Subclass
257/E21.287	Subclass
438/150	Subclass
438/453	Subclass
438/129	Subclass
257/E27.004	Subclass
257/E27.07	Subclass
257/E45.002	Subclass
438/237	Subclass
438/599	Subclass
438/124	Subclass
257/E23.066	Subclass
257/E23.179	Subclass
D2/956	Subclass
438/118	Subclass
438/127	Subclass
439/76.1	Subclass
438/123	Subclass
257/E23.039	Subclass
257/E23.043	Subclass
257/E23.079	Subclass
438/121	Subclass
280/8705	Subclass
257/E21.169	Subclass
135/67	Subclass
438/110	Subclass
135/85	Subclass
438/455	Subclass
438/113	Subclass
257/772	Subclass
257/779	Subclass
257/E23.067	Subclass
257/E23.069	Subclass
438/615	Subclass
257/E21.502	Subclass
257/E21.511	Subclass
D2/951	Subclass
438/464	Subclass
D2/953	Subclass
257/E23.004	Subclass
D2/960	Subclass
438/105	Subclass
257/E21.041	Subclass
257/E21.043	Subclass
370/329	Subclass
257/E21.345	Subclass
438/487	Subclass
438/532	Subclass
438/535	Subclass
438/772	Subclass
438/931	Subclass
438/73	Subclass
257/E27.131	Subclass
257/E27.132	Subclass
257/E27.141	Subclass
438/57	Subclass
257/E31.121	Subclass
438/70	Subclass
438/46	Subclass
438/47	Subclass
455/525	Subclass
438/602	Subclass
438/603	Subclass
438/31	Subclass
372/45.01	Subclass
385/130	Subclass
501/78	Subclass
438/30	Subclass
438/29	Subclass
438/71	Subclass
257/E29.283	Subclass
438/155	Subclass
372/50.11	Subclass
372/98	Subclass
372/99	Subclass
438/45	Subclass
438/26	Subclass
257/99	Subclass
257/433	Subclass
438/27	Subclass
378/70	Subclass
378/86	Subclass
382/132	Subclass
438/964	Subclass
438/15	Subclass
370/335	Subclass
257/E23.124	Subclass
370/208	Subclass
370/235	Subclass
257/E21.705	Subclass
370/468	Subclass
430/5	Subclass
438/17	Subclass
560/127	Subclass
438/975	Subclass
438/8	Subclass
257/E21.528	Subclass
257/48	Subclass
438/5	Subclass
257/E21.665	Subclass
257/E27.005	Subclass
365/158	Subclass
365/171	Subclass
365/173	Subclass
436/518	Subclass
378/4	Subclass
435/6	Subclass
435/7.1	Subclass
378/37	Subclass
333/101	Subclass
435/7.92	Subclass
435/287.1	Subclass
435/287.2	Subclass
436/149	Subclass
436/150	Subclass
436/151	Subclass
436/517	Subclass
436/524	Subclass
436/525	Subclass
436/805	Subclass
370/331	Subclass
433/24	Subclass
436/806	Subclass
436/501	Subclass
436/503	Subclass
436/536	Subclass
506/30	Subclass
209/45	Subclass
209/49	Subclass
222/1	Subclass
222/485	Subclass
222/174	Subclass
250/288	Subclass
422/55	Subclass
422/56	Subclass
422/57	Subclass
501/43	Subclass
422/99	Subclass
422/100	Subclass
422/101	Subclass
422/104	Subclass
501/51	Subclass
210/662	Subclass
435/287.3	Subclass
436/177	Subclass
436/178	Subclass
436/527	Subclass
506/40	Subclass
73/64.56	Subclass
73/863.24	Subclass
210/85	Subclass
210/321.69	Subclass
210/411	Subclass
210/636	Subclass
210/791	Subclass
422/61	Subclass
436/140	Subclass
422/86	Subclass
422/88	Subclass
436/167	Subclass
436/86	Subclass
436/173	Subclass
436/66	Subclass
417/173	Subclass
436/166	Subclass
436/169	Subclass
436/176	Subclass
436/43	Subclass
235/462.13	Subclass
700/266	Subclass
702/84	Subclass
436/40	Subclass
73/73	Subclass
252/408.1	Subclass
252/963	Subclass
436/39	Subclass
436/60	Subclass
433/71	Subclass
516/111	Subclass
436/9	Subclass
433/214	Subclass
73/1.03	Subclass
134/22.1	Subclass
382/128	Subclass
210/670	Subclass
134/22.12	Subclass
365/18906	Subclass
134/22.18	Subclass
210/687	Subclass
422/83	Subclass
222/191	Subclass
210/961	Subclass
422/102	Subclass
222/325	Subclass
422/939	Subclass
210/143	Subclass
422/940	Subclass
222/4021	Subclass
436/8	Subclass
210/191	Subclass
714/811	Subclass
222/40215	Subclass
210/269	Subclass
436/181	Subclass
435/458	Subclass
464/111	Subclass
222/40221	Subclass
210/284	Subclass
435/235.1	Subclass
324/326	Subclass
536/23.1	Subclass
435/455	Subclass
296/191	Subclass
435/375	Subclass
435/440	Subclass
536/24.3	Subclass
435/418	Subclass
424/93.7	Subclass
435/245	Subclass
435/259	Subclass
435/419	Subclass
435/420	Subclass
435/430	Subclass
435/822	Subclass
800/301	Subclass
800/317.2	Subclass
800/317.4	Subclass
435/376	Subclass
435/1.1	Subclass
435/379	Subclass
435/395	Subclass
530/356	Subclass
435/356	Subclass
435/69.1	Subclass
435/354	Subclass
435/334	Subclass
257/422	Subclass
424/94.1	Subclass
424/94.63	Subclass
424/192.1	Subclass
424/195.11	Subclass
435/214	Subclass
296/18709	Subclass
